BIN,Network,CardType,CardCategory,Issuer
410708,VISA,DEBIT,BUSINESS,JSC BTA BANK
409872,VISA,CREDIT,,NURBANK JSC
409663,VISA,CREDIT,,JSC EURASIAN BANK
409654,VISA,DEBIT,BUSINESS ENHANCED,
409273,VISA,DEBIT,PREPAID,JSC SUBSIDIARY BANK ALFA-BANK
408577,VISA,DEBIT,CLASSIC,
407262,VISA,CREDIT,,JSC SUBSIDIARY BANK ALFA-BANK
405772,VISA,CREDIT,PLATINUM,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
405709,VISA,DEBIT,ELECTRON,JSC EURASIAN BANK
405465,VISA,DEBIT,ELECTRON,JSC BTA BANK
405263,VISA,CREDIT,BUSINESS,JSC ATF BANK
405258,VISA,DEBIT,ELECTRON,JSC ATF BANK
405257,VISA,DEBIT,BUSINESS,JSC ATF BANK
405256,VISA,DEBIT,GOLD,JSC ATF BANK
405255,VISA,DEBIT,CLASSIC,JSC ATF BANK
404932,VISA,DEBIT,ELECTRON,HOME CREDIT BANK JSC
404917,VISA,DEBIT,ELECTRON,SB SBERBANK JSC
404363,VISA,CREDIT,,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
404245,VISA,CREDIT,BUSINESS,FORTEBANK JSC
404244,VISA,DEBIT,ELECTRON,FORTEBANK JSC
404243,VISA,CREDIT,REWARDS,FORTEBANK JSC
404242,VISA,CREDIT,CLASSIC,FORTEBANK JSC
403562,VISA,DEBIT,CLASSIC,KAZKOMMERTSBANK
403535,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
403259,VISA,CREDIT,INFINITE,JSC EURASIAN BANK
403167,VISA,DEBIT,BUSINESS,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
402171,VISA,DEBIT,ELECTRON,NURBANK JSC
402135,VISA,DEBIT,ELECTRON,NURBANK JSC
402134,VISA,DEBIT,ELECTRON,BANK CENTER CREDIT
401662,VISA,CREDIT,INFINITE,KAZKOMMERTSBANK
401510,VISA,CREDIT,,
401509,VISA,CREDIT,,
401508,VISA,CREDIT,,
400377,VISA,DEBIT,BUSINESS,
400356,VISA,DEBIT,PLATINUM,
400307,VISA,DEBIT,CLASSIC,
400303,VISA,DEBIT,CLASSIC,KAZKOMMERTSBANK
400289,VISA,DEBIT,GOLD,
379895,AMERICAN EXPRESS,CREDIT,PERSONAL GREEN REVOLVE,KKB
379894,AMERICAN EXPRESS,CREDIT,CORPORATE GREEN CHARGE,KKB
377514,AMERICAN EXPRESS,CREDIT,PERSONAL GOLD REVOLVE,KKB
