BIN,Network,CardType,CardCategory,Issuer
539215,MASTERCARD,CREDIT,WORLD,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
539144,MASTERCARD,CREDIT,WORLD BLACK EDITION,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
537825,MASTERCARD,CREDIT,WORLD BLACK,JSC ATFBANK
537601,MASTERCARD,DEBIT,GOLD,
537111,MASTERCARD,CREDIT,,
536685,MASTERCARD,CREDIT,WORLD BLACK,JSC FORTEBANK
536532,MASTERCARD,CREDIT,GOLD,JSC ALTYN BANK
535650,MASTERCARD,DEBIT,,
535541,MASTERCARD,DEBIT,WORLD DEBIT EMBOSSED,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
535451,MASTERCARD,DEBIT,STANDARD,JOINT-STOCK HALYK SAVINGS BANK OF KAZAKHSTAN
535350,MASTERCARD,DEBIT,,SB HSBC BANK KAZAKHSTAN JSC
535288,MASTERCARD,DEBIT,STANDARD,JSC ATFBANK
535269,MASTERCARD,DEBIT,UNEMBOSSED,JSC BANK OF ASTANA
535268,MASTERCARD,DEBIT,STANDARD,JSC BANK OF ASTANA
535258,MASTERCARD,DEBIT,STANDARD,JSC CAPITAL BANK KAZAKHSTAN
535188,MASTERCARD,DEBIT,STANDARD,JSC ALTYN BANK
534180,MASTERCARD,CREDIT,GOLD,JSC FORTEBANK
533957,MASTERCARD,CREDIT,,
533953,MASTERCARD,CREDIT,,
532483,MASTERCARD,DEBIT,STANDARD,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
532456,MASTERCARD,DEBIT,GOLD,JSC ALTYN BANK
532427,MASTERCARD,CREDIT,STANDARD,JSC FORTEBANK
532424,MASTERCARD,CREDIT,STANDARD,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
531328,MASTERCARD,CREDIT,STANDARD,JSC FORTEBANK
530935,MASTERCARD,CREDIT,STANDARD,JSC FORTEBANK
530796,MASTERCARD,CREDIT,GOLD,JSC BANK OF ASTANA
530496,MASTERCARD,CREDIT,GOLD,JSC EURASIAN BANK
530180,MASTERCARD,CREDIT,WORLD,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
529853,MASTERCARD,CREDIT,STANDARD,JSC KAZPOST
529818,MASTERCARD,CREDIT,STANDARD,JSC EURASIAN BANK
526994,MASTERCARD,CREDIT,GOLD,JSC EURASIAN BANK
526988,MASTERCARD,CREDIT,GOLD,BANK KASSA NOVA JSC
525752,MASTERCARD,CREDIT,GOLD,JSC FORTEBANK
524737,MASTERCARD,CREDIT,PLATINUM,
524354,MASTERCARD,CREDIT,PLATINUM,JSC FORTEBANK
524345,MASTERCARD,CREDIT,PLATINUM,JOINT STOCK BANK KAZKOMMERTSBANK
523539,MASTERCARD,CREDIT,STANDARD,
521050,MASTERCARD,CREDIT,,
520418,MASTERCARD,CREDIT,STANDARD,JOINT STOCK COMPANY BANK CENTERCREDIT
520376,MASTERCARD,CREDIT,STANDARD,JSC ALTYN BANK
517511,MASTERCARD,DEBIT,PREPAID,JOINT STOCK BANK KAZKOMMERTSBANK
517331,MASTERCARD,CREDIT,PLATINUM,TSESNABANK JOINT STOCK COMPANY
517327,MASTERCARD,CREDIT,PLATINUM,JSC ALTYN BANK
516979,MASTERCARD,DEBIT,UNEMBOSSED,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
516949,MASTERCARD,DEBIT,GOLD/PLATINUM,JSC KASPI BANK
516948,MASTERCARD,DEBIT,STANDARD,JSC KASPI BANK
516873,MASTERCARD,DEBIT,STANDARD,JSC KAZPOST
516730,MASTERCARD,DEBIT,GOLD,JSC ALTYN BANK
515627,MASTERCARD,CREDIT,PLATINUM,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
515453,MASTERCARD,CREDIT,STANDARD,JSC ALTYN BANK
513223,MASTERCARD,CREDIT,STANDARD,JSC FORTEBANK
512801,MASTERCARD,CREDIT,STANDARD,JOINT STOCK BANK KAZKOMMERTSBANK
512769,MASTERCARD,CREDIT,GOLD,JSC ATFBANK
512752,MASTERCARD,CREDIT,GOLD,JOINT STOCK BANK KAZKOMMERTSBANK
512496,MASTERCARD,CREDIT,STANDARD,
512459,MASTERCARD,CREDIT,,WESTERN STATES BANKCARD ASSOCIATION
512356,MASTERCARD,CREDIT,GOLD,
512095,MASTERCARD,CREDIT,STANDARD,JSC ATFBANK
511574,MASTERCARD,CREDIT,GOLD,
510445,MASTERCARD,DEBIT,ELECTRON,JOINT STOCK COMPANY BANK CENTERCREDIT
510145,MASTERCARD,CREDIT,STANDARD,JOINT STOCK BANK KAZKOMMERTSBANK
498982,VISA,DEBIT,,
497149,VISA,DEBIT,CLASSIC,JSC ATF BANK
490472,VISA,DEBIT,PLATINUM,KAZKOMMERTSBANK
490454,VISA,DEBIT,CLASSIC,JSC BANK RBK
490453,VISA,DEBIT,ELECTRON,JSC BANK RBK
490452,VISA,DEBIT,GOLD,JSC BANK RBK
490450,VISA,DEBIT,ELECTRON,JSC BANK RBK
490449,VISA,DEBIT,CLASSIC,JSC BANK RBK
490448,VISA,CREDIT,CLASSIC,JSC BANK RBK
490447,VISA,DEBIT,BUSINESS,JSC BANK RBK
489993,VISA,DEBIT,GOLD,BANK CENTER CREDIT
489992,VISA,DEBIT,CLASSIC,BANK CENTER CREDIT
489988,VISA,DEBIT,BUSINESS,BANK CENTER CREDIT
489351,VISA,DEBIT,,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489335,VISA,DEBIT,ELECTRON,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489334,VISA,DEBIT,BUSINESS,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489333,VISA,DEBIT,CLASSIC,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489332,VISA,CREDIT,CLASSIC,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489331,VISA,DEBIT,GOLD,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
489199,VISA,DEBIT,CLASSIC,HOME CREDIT BANK JSC
489022,VISA,DEBIT,,
486504,VISA,CREDIT,PURCHASING,CJSC CITIBANK KAZAKHSTAN
486390,VISA,CREDIT,PLATINUM REWARDS,KASPI BANK JSC
485634,VISA,CREDIT,BUSINESS,HALYK SAVINGS BANK OF KAZAKHSTAN
485625,VISA,CREDIT,,CJSC CITIBANK KAZAKHSTAN
