Sex,NameKZ,NameEn
M,АЛИХАН,
M,АЙСҰЛТАН,
M,ОМАР,
M,АЛДИЯР,
M,АМИР,
M,АЛАН,
M,АЛИ,
M,НҰРИСЛАМ,
M,МУХАММАД,
M,АЛИНҰР,
M,АРСЕН,
M,РАМАЗАН,
M,ИСЛАМ,
M,ИБРАҺИМ,
M,МУСЛИМ,
M,МИРАС,
M,ИМРАН,
M,МАНСҰР,
M,ДІНМҰХАММЕД,
M,ХАМЗА,
M,ЕРАСЫЛ,
M,ДАМИР,
M,САНЖАР,
M,БЕЙБАРЫС,
M,ЗАҢҒАР,
M,АЛЬТАИР,
M,ӘЛИХАН,
M,АҢСАР,
M,АЙБАР,
M,ӘМІР,
M,ӘМІРЕ,
M,МҰХАММЕД,
M,АХМЕТ,
M,ӘЛИНҰР,
M,АРЛАН,
M,ДАРЫН,
M,РАСУЛ,
M,АЙТӨРЕ,
M,АБДУРАХМАН,
M,МАНСУР,
M,ӘЛИ,
M,АХМАД,
M,МҰСТАФА,
M,ХАН,
M,НҰРАСЫЛ,
M,СҰЛТАН,
M,ХАНТӨРЕ,
M,ИБРАХИМ,
M,АЯН,
M,ЖАНТӨРЕ,
F,МЕДИНА,
F,АЙША,
F,АЙЛИН,
F,АСЫЛЫМ,
F,РАЯНА,
F,ТОМИРИС,
F,САФИЯ,
F,АЯЛА,
F,АМИНА,
F,АЙЗЕРЕ,
F,АЙЫМ,
F,АЙАРУ,
F,МАРИЯМ,
F,КӘУСАР,
F,АЙКӨРКЕМ,
F,ФАТИМА,
F,ЯСИНА,
F,ӘМИНА,
F,АДИНА,
F,АИША,
F,АЯНА,
F,ЗЕРЕ,
F,ЯСМИНА,
F,СОФИЯ,
F,АДИЯ,
F,ІНЖУ,
F,ХАДИША,
F,ЖАСМИН,
F,КӨЗАЙЫМ,
F,АЙЛАНА,
F,ДАРИЯ,
F,АЙСАНА,
F,АЯУЛЫМ,
F,ЕРКЕНАЗ,
F,МАРЬЯМ,
F,АЯНАТ,
F,СЕЗІМ,
F,РАМИНА,
F,АЛИНА,
F,ХАНШАЙЫМ,
F,АСИЯ,
F,АРУЖАН,
F,МӘРИЯМ,
F,МУСЛИМА,
F,ЕВА,
F,ДИАНА,
F,АРУНА,
F,АЙСЕЗІМ,
F,ХАДИЯ,
F,МАЛИКА,
